reaction_id,reaction_string,EC_number
DM_4crsol_c,P-Cresol ⇒ ,
DM_5drib_c,5'-deoxyribose ⇒ ,
DM_aacald_c,Aminoacetaldehyde ⇒ ,
DM_amob_c,S-Adenosyl-4-methylthio-2-oxobutanoate ⇒ ,
DM_mththf_c,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran ⇒ ",
DM_oxam_c,Oxamate ⇒ ,
BIOMASS_Ec_iJO1366_WT_53p95M,"0.000223 10-Formyltetrahydrofolate + 0.000223 2-Demethylmenaquinol 8 + 2.5e-05 [2Fe-2S] iron-sulfur cluster + 0.000248 [4Fe-4S] iron-sulfur cluster + 0.000223 5-Methyltetrahydrofolate + 0.000279 Acetyl-CoA + 0.000223 Adenosylcobalamin + 0.499149 L-Alanine + 0.000223 S-Adenosyl-L-methionine + 0.28742 L-Arginine + 0.234232 L-Asparagine + 0.234232 L-Aspartate + 54.119975 ATP + 0.000116 Bis-molybdopterin guanine dinucleotide + 2e-06 Biotin + 0.004952 Calcium + 0.000223 Chorismate + 0.004952 Chloride + 0.002944 Cardiolipin (tetrahexadecanoyl, n-C16:0) + 0.00229 Cardiolipin (tetrahexadec-9-enoyl, n-C16:1) + 0.00118 Cardiolipin (tetraoctadec-11-enoyl, n-C18:1) + 0.000168 Coenzyme A + 2.4e-05 Co2+ + 0.008151 Core oligosaccharide lipid A + 0.129799 CTP + 0.000674 Cu2+ + 0.088988 L-Cysteine + 0.024805 DATP + 0.025612 DCTP + 0.025612 DGTP + 0.024805 DTTP + 0.000223 Enterochelin + 0.000223 Flavin adenine dinucleotide oxidized + 0.006388 Fe2+ + 0.007428 Fe3+ + 0.255712 L-Glutamine + 0.255712 L-Glutamate + 0.595297 Glycine + 0.154187 Glycogen + 0.000223 Reduced glutathione + 0.209121 GTP + 48.752916 H2O + 0.000223 Heme O + 0.092056 L-Histidine + 0.282306 L-Isoleucine + 0.18569 Potassium + 0.437778 L-Leucine + 3e-06 Lipoate (protein bound) + 0.333448 L-Lysine + 3.1e-05 Malonyl-CoA + 0.149336 L-Methionine + 0.008253 Magnesium + 0.000223 5,10-Methylenetetrahydrofolate + 0.000658 Mn2+ + 7e-06 Molybdate + 7e-06 Molybdopterin cytosine dinucleotide + 7e-06 Molybdopterin guanine dinucleotide + 0.000223 Menaquinol 8 + 0.001345 Two linked disacharide tripeptide murein units (uncrosslinked, middle of chain) + 0.000605 Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain) + 0.005381 Two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain) + 0.005448 Two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain) + 0.000673 Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala) & tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain) + 0.001787 Nicotinamide adenine dinucleotide + 4.5e-05 Nicotinamide adenine dinucleotide - reduced + 0.000112 Nicotinamide adenine dinucleotide phosphate + 0.000335 Nicotinamide adenine dinucleotide phosphate - reduced + 0.012379 Ammonium + 0.000307 Nickel + 0.012366 Phosphatidylethanolamine (dihexadecanoyl, n-C16:0) + 0.031798 Phosphatidylethanolamine (dihexadecanoyl, n-C16:0) + 0.009618 Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1) + 0.024732 Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1) + 0.004957 Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1) + 0.012747 Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1) + 0.005707 Phosphatidylglycerol (dihexadecanoyl, n-C16:0) + 0.004892 Phosphatidylglycerol (dihexadecanoyl, n-C16:0) + 0.004439 Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1) + 0.003805 Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1) + 0.002288 Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1) + 0.001961 Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1) + 0.180021 L-Phenylalanine + 0.000223 Protoheme + 0.214798 L-Proline + 0.03327 Putrescine + 0.000223 Pyridoxal 5'-phosphate + 0.000223 Ubiquinol-8 + 0.000223 Riboflavin + 0.209684 L-Serine + 0.000223 Siroheme + 0.004126 Sulfate + 0.006744 Spermidine + 9.8e-05 Succinyl-CoA + 0.000223 5,6,7,8-Tetrahydrofolate + 0.000223 Thiamine diphosphate + 0.246506 L-Threonine + 0.055234 L-Tryptophan + 0.133993 L-Tyrosine + 5.5e-05 Undecaprenyl diphosphate + 0.140101 UTP + 0.411184 L-Valine + 0.000324 Zinc ⇒ 53.95 ADP + 53.95 H+ + 53.945874 Phosphate + 0.749831 Diphosphate",
BIOMASS_Ec_iJO1366_core_53p95M,"0.000223 10-Formyltetrahydrofolate + 2.6e-05 [2Fe-2S] iron-sulfur cluster + 0.000223 2-Octaprenyl-6-hydroxyphenol + 0.00026 [4Fe-4S] iron-sulfur cluster + 0.513689 L-Alanine + 0.000223 S-Adenosyl-L-methionine + 0.295792 L-Arginine + 0.241055 L-Asparagine + 0.241055 L-Aspartate + 54.124831 ATP + 0.000122 Bis-molybdopterin guanine dinucleotide + 2e-06 Biotin + 0.005205 Calcium + 0.005205 Chloride + 0.000576 Coenzyme A + 2.5e-05 Co2+ + 0.133508 CTP + 0.000709 Cu2+ + 0.09158 L-Cysteine + 0.026166 DATP + 0.027017 DCTP + 0.027017 DGTP + 0.026166 DTTP + 0.000223 Flavin adenine dinucleotide oxidized + 0.006715 Fe2+ + 0.007808 Fe3+ + 0.26316 L-Glutamine + 0.26316 L-Glutamate + 0.612638 Glycine + 0.215096 GTP + 48.601527 H2O + 0.094738 L-Histidine + 0.290529 L-Isoleucine + 0.195193 Potassium + 0.019456 KDO(2)-lipid IV(A) + 0.450531 L-Leucine + 0.343161 L-Lysine + 0.153686 L-Methionine + 0.008675 Magnesium + 0.000223 5,10-Methylenetetrahydrofolate + 0.000691 Mn2+ + 7e-06 Molybdate + 0.013894 Two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain) + 0.001831 Nicotinamide adenine dinucleotide + 0.000447 Nicotinamide adenine dinucleotide phosphate + 0.013013 Ammonium + 0.000323 Nickel + 0.017868 Phosphatidylethanolamine (dihexadecanoyl, n-C16:0) + 0.045946 Phosphatidylethanolamine (dihexadecanoyl, n-C16:0) + 0.054154 Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1) + 0.02106 Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1) + 0.185265 L-Phenylalanine + 0.000223 Protoheme + 0.221055 L-Proline + 0.000223 Pyridoxal 5'-phosphate + 0.000223 Riboflavin + 0.215792 L-Serine + 0.000223 Siroheme + 0.004338 Sulfate + 0.000223 5,6,7,8-Tetrahydrofolate + 0.000223 Thiamine diphosphate + 0.253687 L-Threonine + 0.056843 L-Tryptophan + 0.137896 L-Tyrosine + 5.5e-05 Undecaprenyl diphosphate + 0.144104 UTP + 0.423162 L-Valine + 0.000341 Zinc ⇒ 53.95 ADP + 53.95 H+ + 53.945662 Phosphate + 0.773903 Diphosphate",
EX_12ppd__R_e,"(R)-Propane-1,2-diol ⇒ ",
EX_12ppd__S_e,"(S)-Propane-1,2-diol ⇒ ",
