id,condition,enzyme_amount,flux,kapp,organism
12DGR120tipp,galactose,,0.0,,Escherichia coli
12DGR120tipp,acetate,,0.0,,Escherichia coli
12DGR120tipp,pyruvate,,0.0,,Escherichia coli
12DGR120tipp,glycerol,,0.0,,Escherichia coli
12DGR120tipp,fructose,,0.0,,Escherichia coli
12DGR120tipp,succinate,,0.0,,Escherichia coli
12DGR120tipp,glucose,,0.0,,Escherichia coli
12DGR140tipp,galactose,,0.0,,Escherichia coli
12DGR140tipp,acetate,,0.0,,Escherichia coli
12DGR140tipp,pyruvate,,0.0,,Escherichia coli
12DGR140tipp,glycerol,,0.0,,Escherichia coli
12DGR140tipp,fructose,,0.0,,Escherichia coli
12DGR140tipp,succinate,,0.0,,Escherichia coli
12DGR140tipp,glucose,,0.0,,Escherichia coli
12DGR141tipp,galactose,,0.0,,Escherichia coli
12DGR141tipp,acetate,,0.0,,Escherichia coli
12DGR141tipp,pyruvate,,0.0,,Escherichia coli
12DGR141tipp,glycerol,,0.0,,Escherichia coli
12DGR141tipp,fructose,,0.0,,Escherichia coli
12DGR141tipp,succinate,,0.0,,Escherichia coli
12DGR141tipp,glucose,,0.0,,Escherichia coli
12DGR160tipp,galactose,,0.0,,Escherichia coli
12DGR160tipp,acetate,,0.0,,Escherichia coli
12DGR160tipp,pyruvate,,0.0,,Escherichia coli
12DGR160tipp,glycerol,,0.0,,Escherichia coli
12DGR160tipp,fructose,,0.0,,Escherichia coli
12DGR160tipp,succinate,,0.0,,Escherichia coli
12DGR160tipp,glucose,,0.0,,Escherichia coli
12DGR161tipp,galactose,,0.0,,Escherichia coli
12DGR161tipp,acetate,,0.0,,Escherichia coli
12DGR161tipp,pyruvate,,0.0,,Escherichia coli
12DGR161tipp,glycerol,,0.0,,Escherichia coli
12DGR161tipp,fructose,,0.0,,Escherichia coli
12DGR161tipp,succinate,,0.0,,Escherichia coli
12DGR161tipp,glucose,,0.0,,Escherichia coli
12DGR180tipp,galactose,,0.0,,Escherichia coli
12DGR180tipp,acetate,,0.0,,Escherichia coli
12DGR180tipp,pyruvate,,0.0,,Escherichia coli
12DGR180tipp,glycerol,,0.0,,Escherichia coli
12DGR180tipp,fructose,,0.0,,Escherichia coli
12DGR180tipp,succinate,,0.0,,Escherichia coli
12DGR180tipp,glucose,,0.0,,Escherichia coli
12DGR181tipp,galactose,,0.0,,Escherichia coli
12DGR181tipp,acetate,,0.0,,Escherichia coli
12DGR181tipp,pyruvate,,0.0,,Escherichia coli
12DGR181tipp,glycerol,,0.0,,Escherichia coli
12DGR181tipp,fructose,,0.0,,Escherichia coli
12DGR181tipp,succinate,,0.0,,Escherichia coli
12DGR181tipp,glucose,,0.0,,Escherichia coli
12PPDRtex,galactose,4.6961238,0.0,0.0,Escherichia coli
12PPDRtex,acetate,5.5180997,0.0,0.0,Escherichia coli
12PPDRtex,pyruvate,5.6369543,0.0,0.0,Escherichia coli
12PPDRtex,glycerol,4.8173008,0.0,0.0,Escherichia coli
12PPDRtex,fructose,3.8641146,0.0,0.0,Escherichia coli
12PPDRtex,succinate,4.3003902,0.0,0.0,Escherichia coli
12PPDRtex,glucose,4.0785396,0.0,0.0,Escherichia coli
12PPDRtex_reverse,galactose,4.6961238,0.0,0.0,Escherichia coli
12PPDRtex_reverse,acetate,5.5180997,0.0,0.0,Escherichia coli
12PPDRtex_reverse,pyruvate,5.6369543,3.33333333333e-07,5.91335880323e-08,Escherichia coli
12PPDRtex_reverse,glycerol,4.8173008,0.0,0.0,Escherichia coli
12PPDRtex_reverse,fructose,3.8641146,9.84666676529e-06,2.54823362777e-06,Escherichia coli
12PPDRtex_reverse,succinate,4.3003902,0.0,0.0,Escherichia coli
12PPDRtex_reverse,glucose,4.0785396,-7.5e-06,-1.83889350982e-06,Escherichia coli
12PPDRtpp,galactose,,0.0,,Escherichia coli
12PPDRtpp,acetate,,0.0,,Escherichia coli
12PPDRtpp,pyruvate,,0.0,,Escherichia coli
12PPDRtpp,glycerol,,0.0,,Escherichia coli
12PPDRtpp,fructose,,0.0,,Escherichia coli
12PPDRtpp,succinate,,0.0,,Escherichia coli
12PPDRtpp,glucose,,0.0,,Escherichia coli
12PPDRtpp_reverse,galactose,,0.0,,Escherichia coli
12PPDRtpp_reverse,acetate,,0.0,,Escherichia coli
12PPDRtpp_reverse,pyruvate,,3.33333333333e-07,,Escherichia coli
12PPDRtpp_reverse,glycerol,,0.0,,Escherichia coli
12PPDRtpp_reverse,fructose,,9.84666676529e-06,,Escherichia coli
12PPDRtpp_reverse,succinate,,0.0,,Escherichia coli
12PPDRtpp_reverse,glucose,,-7.5e-06,,Escherichia coli
12PPDStex,galactose,4.6961238,0.0,0.0,Escherichia coli
12PPDStex,acetate,5.5180997,0.0,0.0,Escherichia coli
12PPDStex,pyruvate,5.6369543,0.0,0.0,Escherichia coli
12PPDStex,glycerol,4.8173008,0.0,0.0,Escherichia coli
12PPDStex,fructose,3.8641146,0.0,0.0,Escherichia coli
12PPDStex,succinate,4.3003902,0.0,0.0,Escherichia coli
12PPDStex,glucose,4.0785396,0.0,0.0,Escherichia coli
12PPDStex_reverse,galactose,4.6961238,0.0,0.0,Escherichia coli
12PPDStex_reverse,acetate,5.5180997,0.0,0.0,Escherichia coli
12PPDStex_reverse,pyruvate,5.6369543,0.0,0.0,Escherichia coli
12PPDStex_reverse,glycerol,4.8173008,0.0,0.0,Escherichia coli
12PPDStex_reverse,fructose,3.8641146,0.0,0.0,Escherichia coli
12PPDStex_reverse,succinate,4.3003902,0.0,0.0,Escherichia coli
12PPDStex_reverse,glucose,4.0785396,0.0,0.0,Escherichia coli
12PPDStpp,galactose,,0.0,,Escherichia coli
12PPDStpp,acetate,,0.0,,Escherichia coli
12PPDStpp,pyruvate,,0.0,,Escherichia coli
12PPDStpp,glycerol,,0.0,,Escherichia coli
12PPDStpp,fructose,,0.0,,Escherichia coli
12PPDStpp,succinate,,0.0,,Escherichia coli
12PPDStpp,glucose,,0.0,,Escherichia coli
12PPDStpp_reverse,galactose,,0.0,,Escherichia coli
12PPDStpp_reverse,acetate,,0.0,,Escherichia coli
12PPDStpp_reverse,pyruvate,,0.0,,Escherichia coli
