id,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
12DGR120tipp,,,,,,,
12DGR140tipp,,,,,,,
12DGR141tipp,,,,,,,
12DGR160tipp,,,,,,,
12DGR161tipp,,,,,,,
12DGR180tipp,,,,,,,
12DGR181tipp,,,,,,,
12PPDRtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
12PPDRtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
12PPDRtpp,,,,,,,
12PPDRtpp_reverse,,,,,,,
12PPDStex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
12PPDStex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
12PPDStpp,,,,,,,
12PPDStpp_reverse,,,,,,,
14GLUCANabcpp,0.000563729490511,0.000355667487542,0.000453710145022,0.000518043810058,0.000379887765915,0.00052651121955,0.000171056546317
14GLUCANtexi,0.0001317239,0.0001126848,0.0001211958,0.000158925,0.000101198,0.0001478873,7.98373208489e-05
23CAMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
23CAMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
23CCMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
23CCMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
23CGMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
23CGMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
23CUMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
23CUMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
23DAPPAt2pp,,,,,,,
23DAPPAtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
23DAPPAtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
23PDE2pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
23PDE4pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
23PDE7pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
23PDE9pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
26DAHtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
26DAHtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
2AGPA120tipp,,,,,,,
2AGPA140tipp,,,,,,,
2AGPA141tipp,,,,,,,
2AGPA160tipp,,,,,,,
2AGPA161tipp,,,,,,,
2AGPA180tipp,,,,,,,
2AGPA181tipp,,,,,,,
2AGPE120tipp,,,,,,,
2AGPE140tipp,,,,,,,
2AGPE141tipp,,,,,,,
2AGPE160tipp,,,,,,,
2AGPE161tipp,,,,,,,
2AGPE180tipp,,,,,,,
2AGPE181tipp,,,,,,,
2AGPEAT120,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2AGPEAT140,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2AGPEAT141,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2AGPEAT160,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2AGPEAT161,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2AGPEAT180,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2AGPEAT181,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2AGPG120tipp,,,,,,,
2AGPG140tipp,,,,,,,
2AGPG141tipp,,,,,,,
2AGPG160tipp,,,,,,,
2AGPG161tipp,,,,,,,
2AGPG180tipp,,,,,,,
2AGPG181tipp,,,,,,,
2AGPGAT120,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2AGPGAT140,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2AGPGAT141,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2AGPGAT160,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2AGPGAT161,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2AGPGAT180,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2AGPGAT181,4.68556111856e-07,1.07523441668e-06,1.10941592458e-06,1.07519429001e-06,1.13456008076e-06,8.467910714e-07,9.02245489566e-07
2DGULRGx,8.4624e-05,6.59866785758e-05,9.93896864828e-05,7.79575575899e-05,0.0001008777,7.8405e-05,0.0001121159
2DGULRGy,8.4624e-05,6.59866785758e-05,9.93896864828e-05,7.79575575899e-05,0.0001008777,7.8405e-05,0.0001121159
2DGULRx,8.4624e-05,6.59866785758e-05,9.93896864828e-05,7.79575575899e-05,0.0001008777,7.8405e-05,0.0001121159
2DGULRy,8.4624e-05,6.59866785758e-05,9.93896864828e-05,7.79575575899e-05,0.0001008777,7.8405e-05,0.0001121159
2MAHMP,5.99e-07,4.13057897183e-07,3.97908626938e-07,1.01678190505e-06,8.74e-07,4.9e-07,1.43413704051e-06
34dhpactex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
34dhpactex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
3AMACHYD,,,,,,,
3AMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
3AMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
3CMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
3CMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
3GMPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
3GMPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
3HAD100,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
3HAD120,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
3HAD121,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
3HAD140,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
3HAD141,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
3HAD160,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
3HAD161,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
3HAD180,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
3HAD181,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
3HAD40,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
3HAD60,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
3HAD80,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
3HCINNMH,,,,,,,
3HPPPNH,,,,,,,
3HPPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
3HPPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
3HPPtpp,,,,,,,
3KGK,,,,,,,
3NTD2pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
3NTD4pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
3NTD7pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
3NTD9pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
3OAR100,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
3OAR100_reverse,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
3OAR120,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
3OAR120_reverse,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
3OAR121,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
3OAR140,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
3OAR140_reverse,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
3OAR141,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
3OAR160,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
3OAR160_reverse,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
3OAR161,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
3OAR180,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
3OAR180_reverse,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
