id,reaction,reaction_name,reaction_string,ec_number,gene_name,gene_id,organism,kcat
12DGR120tipp,12DGR120tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)","1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0) = 1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",,,,Escherichia coli,
12DGR140tipp,12DGR140tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)","1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0) = 1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",,,,Escherichia coli,
12DGR141tipp,12DGR141tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)","1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1) = 1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",,,,Escherichia coli,
12DGR160tipp,12DGR160tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)","1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0) = 1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",,,,Escherichia coli,
12DGR161tipp,12DGR161tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)","1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1) = 1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",,,,Escherichia coli,
12DGR180tipp,12DGR180tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)","1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0) = 1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",,,,Escherichia coli,
12DGR181tipp,12DGR181tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)","1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1) = 1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",,,,Escherichia coli,
12PPDRtex,12PPDRtex,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)","(R)-Propane-1,2-diol = (R)-Propane-1,2-diol",,ompC,b2215,Escherichia coli,
12PPDRtex,12PPDRtex,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)","(R)-Propane-1,2-diol = (R)-Propane-1,2-diol",,ompN,b1377,Escherichia coli,
12PPDRtex,12PPDRtex,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)","(R)-Propane-1,2-diol = (R)-Propane-1,2-diol",,phoE,b0241,Escherichia coli,
12PPDRtex,12PPDRtex,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)","(R)-Propane-1,2-diol = (R)-Propane-1,2-diol",,ompF,b0929,Escherichia coli,
12PPDRtex_reverse,12PPDRtex,,"(R)-Propane-1,2-diol = (R)-Propane-1,2-diol",,ompC,b2215,Escherichia coli,
12PPDRtex_reverse,12PPDRtex,,"(R)-Propane-1,2-diol = (R)-Propane-1,2-diol",,ompN,b1377,Escherichia coli,
12PPDRtex_reverse,12PPDRtex,,"(R)-Propane-1,2-diol = (R)-Propane-1,2-diol",,phoE,b0241,Escherichia coli,
12PPDRtex_reverse,12PPDRtex,,"(R)-Propane-1,2-diol = (R)-Propane-1,2-diol",,ompF,b0929,Escherichia coli,
12PPDRtpp,12PPDRtpp,"(R)-Propane-1,2-diol facilitated transport (periplasm)","(R)-Propane-1,2-diol = (R)-Propane-1,2-diol",,,,Escherichia coli,
12PPDRtpp_reverse,12PPDRtpp,,"(R)-Propane-1,2-diol = (R)-Propane-1,2-diol",,,,Escherichia coli,
12PPDStex,12PPDStex,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)","(S)-Propane-1,2-diol = (S)-Propane-1,2-diol",,ompC,b2215,Escherichia coli,
12PPDStex,12PPDStex,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)","(S)-Propane-1,2-diol = (S)-Propane-1,2-diol",,ompN,b1377,Escherichia coli,
12PPDStex,12PPDStex,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)","(S)-Propane-1,2-diol = (S)-Propane-1,2-diol",,phoE,b0241,Escherichia coli,
12PPDStex,12PPDStex,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)","(S)-Propane-1,2-diol = (S)-Propane-1,2-diol",,ompF,b0929,Escherichia coli,
12PPDStex_reverse,12PPDStex,,"(S)-Propane-1,2-diol = (S)-Propane-1,2-diol",,ompC,b2215,Escherichia coli,
12PPDStex_reverse,12PPDStex,,"(S)-Propane-1,2-diol = (S)-Propane-1,2-diol",,ompN,b1377,Escherichia coli,
12PPDStex_reverse,12PPDStex,,"(S)-Propane-1,2-diol = (S)-Propane-1,2-diol",,phoE,b0241,Escherichia coli,
12PPDStex_reverse,12PPDStex,,"(S)-Propane-1,2-diol = (S)-Propane-1,2-diol",,ompF,b0929,Escherichia coli,
12PPDStpp,12PPDStpp,"(S)-Propane-1,2-diol facilitated transport (periplasm)","(S)-Propane-1,2-diol = (S)-Propane-1,2-diol",,,,Escherichia coli,
12PPDStpp_reverse,12PPDStpp,,"(S)-Propane-1,2-diol = (S)-Propane-1,2-diol",,,,Escherichia coli,
14GLUCANabcpp,14GLUCANabcpp,"1,4-alpha-D-glucan transport via ABC system (periplasm)","1,4-alpha-D-glucan + ATP + H2O = 1,4-alpha-D-glucan + ADP + H+ + Phosphate",,malK,b4035,Escherichia coli,
14GLUCANabcpp,14GLUCANabcpp,"1,4-alpha-D-glucan transport via ABC system (periplasm)","1,4-alpha-D-glucan + ATP + H2O = 1,4-alpha-D-glucan + ADP + H+ + Phosphate",,malF,b4033,Escherichia coli,
14GLUCANabcpp,14GLUCANabcpp,"1,4-alpha-D-glucan transport via ABC system (periplasm)","1,4-alpha-D-glucan + ATP + H2O = 1,4-alpha-D-glucan + ADP + H+ + Phosphate",,malE,b4034,Escherichia coli,
14GLUCANabcpp,14GLUCANabcpp,"1,4-alpha-D-glucan transport via ABC system (periplasm)","1,4-alpha-D-glucan + ATP + H2O = 1,4-alpha-D-glucan + ADP + H+ + Phosphate",,malG,b4032,Escherichia coli,
14GLUCANtexi,14GLUCANtexi,"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible","1,4-alpha-D-glucan = 1,4-alpha-D-glucan",2.4.1.161,lamB,b4036,Escherichia coli,
23CAMPtex,23CAMPtex,23cAMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic AMP = 2',3'-Cyclic AMP",,ompC,b2215,Escherichia coli,
23CAMPtex,23CAMPtex,23cAMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic AMP = 2',3'-Cyclic AMP",,ompN,b1377,Escherichia coli,
23CAMPtex,23CAMPtex,23cAMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic AMP = 2',3'-Cyclic AMP",,phoE,b0241,Escherichia coli,
23CAMPtex,23CAMPtex,23cAMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic AMP = 2',3'-Cyclic AMP",,ompF,b0929,Escherichia coli,
23CAMPtex_reverse,23CAMPtex,,"2',3'-Cyclic AMP = 2',3'-Cyclic AMP",,ompC,b2215,Escherichia coli,
23CAMPtex_reverse,23CAMPtex,,"2',3'-Cyclic AMP = 2',3'-Cyclic AMP",,ompN,b1377,Escherichia coli,
23CAMPtex_reverse,23CAMPtex,,"2',3'-Cyclic AMP = 2',3'-Cyclic AMP",,phoE,b0241,Escherichia coli,
23CAMPtex_reverse,23CAMPtex,,"2',3'-Cyclic AMP = 2',3'-Cyclic AMP",,ompF,b0929,Escherichia coli,
