,reaction_id,EC_number
0,FHL,1.1.99.33
1,GDMANE,1.1.1.271
2,CS,2.3.3.16
3,CS,2.3.3.1
4,PDH,1.2.4.1
5,EX_14glucan_e,2.4.1.161
6,OCOAT1,2.8.3.5
7,OMAHY,4.2.1.80
8,14GLUCANtexi,2.4.1.161
9,23PDE2pp,3.1.4.16
10,23PDE4pp,3.1.4.16
11,23PDE7pp,3.1.4.16
12,23PDE9pp,3.1.4.16
13,2AGPEAT160,2.3.1.40
14,2AGPEAT180,2.3.1.40
15,ACMAMUT,2.4.1.180
16,3HAD100,4.2.1.59
17,3HAD120,4.2.1.59
18,3HAD121,4.2.1.61
19,3HAD140,4.2.1.59
20,3HAD141,4.2.1.61
21,3HAD160,4.2.1.59
22,3HAD161,4.2.1.61
23,3HAD180,4.2.1.61
24,3HAD181,4.2.1.61
25,3HAD40,4.2.1.58
26,3HAD60,4.2.1.59
27,3HAD80,4.2.1.59
28,3HCINNMH,1.14.13.127
29,3HPPPNH,1.14.13.127
30,3KGK,2.7.1.53
31,3NTD2pp,3.1.3.6
32,3NTD4pp,3.1.3.6
33,3NTD7pp,3.1.3.6
34,3NTD9pp,3.1.3.6
35,3OAR100,2.3.1.86
36,3OAR120,2.3.1.86
37,3OAR121,1.1.1.100
38,3OAR140,2.3.1.86
39,3OAR141,1.1.1.100
40,3OAR160,2.3.1.86
41,3OAR161,1.1.1.100
42,3OAR180,1.1.1.100
43,3OAR181,1.1.1.100
44,3OAR40,1.1.1.100
45,3OAR60,2.3.1.86
46,3OAR80,2.3.1.86
47,3OAS100,2.3.1.86
48,3OAS120,2.3.1.86
49,3OAS121,2.3.1.41
50,3OAS140,2.3.1.86
51,3OAS141,2.3.1.41
52,3OAS160,2.3.1.86
53,3OAS161,2.3.1.41
54,3OAS180,2.3.1.41
55,3OAS181,2.3.1.179
56,3OAS60,2.3.1.86
57,3OAS80,2.3.1.86
58,3OXCOAT,2.3.1.174
59,42A12BOOXpp,1.4.99.4
60,4HTHRS,4.2.3.1
61,5DGLCNR,1.1.1.69
62,A5PISO,5.3.1.13
63,AACPS1,6.2.1.20
64,AACPS2,6.2.1.20
65,AACPS3,6.2.1.20
66,AACPS6,6.2.1.20
67,AACPS7,6.2.1.l
68,AACPS8,6.2.1.20
69,AACPS9,6.2.1.l
70,AACTOOR,1.4.3.6
71,AB6PGH,3.2.1.86
72,ABTA,2.6.1.19
73,ABUTD,1.2.1.3
74,ACACCT,2.8.3.8
75,ACACT1r,2.3.1.9
76,ACACT2r,2.3.1.9
77,ACACT3r,2.3.1.9
78,ACACT4r,2.3.1.9
79,ACACT5r,2.3.1.9
80,ACACT6r,2.3.1.9
81,ACACT7r,2.3.1.9
82,ACALD,1.2.1.10
83,ACBIPGT,2.7.7.62
84,ACCOAC,6.4.1.2
85,ACCOAL,6.2.1.13
86,ACGAL1PPpp,3.1.3.10
87,ACGAM1PPpp,3.1.3.10
88,ACGAMK,2.7.1.59
89,ACGK,2.7.2.8
90,ACGS,2.3.1.1
91,ACHBS,2.2.1.6
92,ACKr,2.7.2.15
93,ACLS,2.2.1.6
94,ACM6PH,4.2.1.126
95,ACNML,4.1.3.3
