gene_id,gene_name,pyruvate,glucose,glucose + glutamate,amino acids,glucose + amino acids
BSU14480,abh,427.27709978,250.865998,561.6899697,865.76570494,3234.97124795
BSU00370,abrB,3441.33659449,2859.16794651,2038.53579261,10811.040867,18182.8075014
BSU29200,accA,1552.37297579,1031.20958264,976.63058099,1470.23104373,3966.42723111
BSU24340,accC,2306.06697514,1798.4892907,2409.29640458,6207.30943151,10456.2445911
BSU29210,accD,1208.4302621,1118.97233122,684.64455841,1270.61376629,2705.4354484
BSU29470,ackA,1999.99465027,1612.91920737,6197.07375721,11039.5626927,54939.8171695
BSU15920,acpA,10943.2582849,11886.4935951,20204.7646192,35975.3968482,73072.2634569
BSU04620,acpS,298.65236475,,,,
BSU29680,acsA,2949.67259748,466.52000615,117.00428021,3356.98846785,
BSU29700,acuB,419.10030482,,,481.31534934,434.18557516
BSU14520,adeC,794.3130388,321.63824927,372.65839307,444.17879376,2626.9468322
BSU01370,adk,2615.3041307,2183.12712477,3619.67710803,11614.3445427,19951.4769325
BSU40090,ahpC,44438.7524833,24848.9313036,20051.0675024,44043.4241392,77161.3066604
BSU40100,ahpF,1450.59070602,1331.92130525,2098.86887881,3809.36312138,8973.69917769
BSU31410,alaR,836.94420751,350.56424454,403.28642454,907.62231992,1613.77520544
BSU27410,alaS,1258.04625819,857.34608698,1044.65739885,2603.60856766,4807.82853647
BSU31930,ald,5437.98773053,844.64619839,1101.20851807,74422.8871242,55493.8189031
BSU38830,aldY,443.1293265,,,,
BSU03010,amhX,2438.54842589,512.7692927,109.34834866,197.79486086,
BSU14450,ampS,1260.69636758,263.95814187,132.34259574,681.00154135,1401.3410125
BSU11390,appB,666.14401596,123.75361901,,,
BSU11400,appC,358.24211258,,,,
BSU27610,apt,711.73516081,871.76277903,942.92564129,2750.40001277,7609.18129387
BSU11210,argB,425.81623292,142.48348309,312.87145494,680.38226677,
BSU11220,argD,1518.47671467,1090.34764293,1218.74673855,1631.79242231,
BSU11250,argF,2198.54664577,1083.98866988,1810.66417124,1643.8049687,2213.59317718
BSU29450,argG,2863.5445626,2610.65439765,4511.12305324,5064.80308152,245.6278354
BSU29440,argH,890.24450586,1232.08526796,1883.3411592,1402.62039672,
BSU37330,argS,3259.26126533,1205.69835286,821.13916959,3288.63767808,5298.56098552
BSU29750,aroA,10875.1635377,20629.7582685,36974.3246524,13334.3786163,27461.095596
BSU22700,aroB,1902.74658222,1686.62181029,2165.08063212,948.57072789,1816.5699548
BSU23080,aroC,280.07213357,,,,490.65377317
BSU25660,aroD,372.14826833,257.15125662,204.45502484,301.511883,632.9452265
BSU22600,aroE,1270.74482111,3513.58095932,4137.20376629,3618.73774713,8814.61928752
BSU22710,aroF,2095.4462316,4162.4291195,4400.35689103,2080.02646497,6168.40917604
BSU22690,aroH,1344.02279564,1171.42067737,1565.7980684,1022.27096787,1403.30402703
BSU03150,aroK,268.04915594,185.24364937,321.26188274,208.89939654,441.99178205
BSU23980,artP,4303.03424334,1369.27287562,1368.47309665,2118.72647661,273.43184826
BSU23970,artQ,554.66160685,153.10289674,59.02806011,,
BSU23960,artR,662.64794574,292.67877365,339.88028546,472.53761458,
BSU16750,asd,8467.02134386,5223.61488354,5818.84354837,8453.07313806,13662.8534442
BSU22360,asnS,1234.56731886,1446.80420376,1971.5477071,5589.8883979,13587.0469236
BSU22370,aspB,4824.29383613,10915.769416,9860.49582153,13714.6744829,20200.6414794
BSU27550,aspS,2547.3689513,1583.98536288,2296.58781225,6800.96878648,10685.5147146
BSU36830,atpA,11973.2127938,6807.00014727,7580.57318906,41984.0495395,49402.2528313
BSU36800,atpC,1241.80457149,1923.67416706,1809.32165784,4204.92607246,6882.04989836
BSU36810,atpD,20369.1501114,10748.0514994,8181.96319386,50615.7935965,49598.9018653
BSU36850,atpF,4955.16327988,644.38301998,872.08113199,8197.60253601,11355.4730921
BSU36820,atpG,570.14926052,445.85739427,331.56227821,2914.72870353,3793.76767042
BSU36840,atpH,2406.4236445,932.25512494,955.68285812,4989.64377929,6309.38190372
BSU19230,azoR1,1781.00618582,1231.97252222,1153.0559682,1911.09703319,4632.54343585
BSU33540,azoR2,7524.76320886,1516.09805081,557.95536333,1290.07685413,724.34413922
BSU37730,bacB,123.97499748,218.17321282,355.17237728,,
BSU24080,bcd,568.41828491,565.09102574,307.11832798,3501.98900161,3827.55002023
BSU33480,bdbD,262.60412109,126.82591328,469.18351615,655.55081593,1894.84039772
BSU06240,bdhA,3135.31795703,3844.73266433,6623.27797814,7815.92272813,17020.3710061
BSU30230,bioA,3273.23189357,3192.04792148,2021.96492564,3864.29317699,7321.60099987
BSU30200,bioB,2228.11202892,1659.96464409,2024.70922999,4581.76920658,6484.85282484
BSU24030,bkdB,1047.28531293,519.14509474,535.57339922,4877.86977323,4742.81376284
BSU21900,bsaA,665.88404396,317.57886805,161.68593215,409.33453088,
BSU35270,cccB,625.08919364,162.01554661,169.10066915,768.39768074,850.84007858
BSU29740,ccpA,954.96189319,456.7003889,462.67333422,1366.17676705,2417.31215041
BSU25250,ccpN,484.62273987,111.16643112,104.7521986,220.2128646,300.36418143
BSU25300,cdd,1451.79610639,375.43716931,182.06881679,,411.26630952
BSU19780,cgeA,4257.87999475,,,,
BSU16430,cheA,1164.21914559,705.19953337,607.6224508,1579.87391444,1423.19194034
BSU14010,cheV,1624.99221196,1116.96902248,1021.28445877,1764.41023665,1690.14541171
BSU16440,cheW,1683.32092318,839.56519207,644.462836,1423.28665456,1622.9259796
BSU18000,citB,20289.6651067,5048.83263792,1294.02107426,24371.2258766,16421.7799181
BSU33040,citG,11815.9033915,2427.10182665,2007.42241979,9879.86521659,4674.71889593
BSU29140,citZ,22995.2177733,8373.3206424,2009.42390922,20577.9353389,2226.90946132
BSU00860,clpC,2478.74639771,1157.47087617,1020.83472565,2623.83776051,3437.9610206
BSU13700,clpE,563.62905593,165.26447432,130.48948076,420.30399909,305.76086697
BSU34540,clpP,7091.44478266,4011.35026664,4524.61689163,11117.6087058,18260.1721668
BSU16150,clpQ,665.89019571,,,,
