reaction,pyruvate,glucose,glucose + glutamate,amino acids,glucose + amino acids
TptsG  ,0,8.837412,10.112527,0,10.173476
TfruA  ,0,0,0,0,0
TfruLev,0,0,0,0,0
TmalP  ,0,0,0,0,0
TsacP  ,0,0,0,0,0
TmanP  ,0,0,0,0,0
TmtlA  ,0,0,0,0,0
TtreP  ,0,0,0,0,0
Tlic   ,0,0,0,0,0
Tgmu   ,0,0,0,0,0
TgamP  ,0,0,0,0,0
TnagP  ,0,0,0,0,0
TmurP  ,0,0,0,0,0
TgutP  ,0,0,0,0,0
TglpF  ,0,0,0,0,0
TiolF  ,0,0,0,0,0
Trbs   ,0,0,0,0,0
TgntP  ,0,0,0,0,0
TaraE  ,0,0,0,0,0
TaraPQ ,0,0,0,0,0
TdctP1 ,0,0,-0.007324,0,0
TdctP2 ,0,0,0,0,0
TcitM  ,0,0.000459,0.000467,0,0
TcimH1 ,0,0,0,0,0
TmaeN  ,0,0,0,0,0
TcimH2 ,0,0,0,0,0
TlctP  ,0,0,0,0,0
Tala   ,0,0,0,-0.741336,1.122803
Targ   ,0,0,0,0.207749,0.508192
Targ2  ,0,0,0,0,0
Tasp   ,0,0,0,0,0
Tcys   ,0,0,0,0.134241,0.159821
Tcys2  ,0,0,0,0,0
TglnT  ,0,0,0,0,0
Tgln2  ,0,0,0,0,0
TgltT  ,0,0,4.815071,7.108702,0.712031
This   ,0,0,0,0.240626,0.29114
Tile   ,0,0,0,0.452888,0.534948
Tleu   ,0,0,0,0.299314,0.349392
Tmet   ,0,0,0,0.172702,0.206102
Tmet2  ,0,0,0,0,0
Tpro   ,0,0,0,0.90994,0.001743
Ttrp   ,0,0,0,0,0
Tval   ,0,0,0,0.490464,0.585715
TpbuG  ,0,0,0,0,0
TpbuO  ,0,0,0,0,0
TpbuX  ,0,0,0,0,0
TpyrP  ,0,0,0,0,0
Tado   ,0,0,0,0,0
Tguo   ,0,0,0,0,0
Tino   ,0,0,0,0,0
Tcto   ,0,0,0,0,0
Tdado  ,0,0,0,0,0
Turi   ,0,0,0,0,0
Tcti   ,0,0,0,0,0
Tthy   ,0,0,0,0,0
Tdguo  ,0,0,0,0,0
Turt   ,0,0,0,0,0
Taloi  ,0,0,0,0,0
Tthi   ,0,0,0,0,0
Theme  ,0,0,0,0,0
TribU  ,0,0,0,0,0
TbioY  ,0,0,0,0,0
Tnh3b  ,0,0,0,0,0
Tno3   ,0,0,0,0,0
Tno2   ,0,0,0,0,0
Tno2b  ,0,0,0,0,0
Tqox   ,41.454161,21.407011,44.324486,71.765076,56.61604
Tcyd   ,0,0,0,0,0
Tcta   ,0.003681,10.753893,0,0,0
Tsul   ,0.093775,0.193215,0.278514,0,0
Tp     ,0.153679,0.391904,0.678981,0.809613,1.091614
Tp2    ,0,0,0,0,0
TmgtE  ,0.000177,0,0,0.000393,0.000757
TfeuABC,0.000099,0,0.000105,0.000094,0.000033
TefeNU ,0,0,0,0,0
Tyfm   ,0,0.000338,0,0,0
Tmnt   ,0.000167,0.000132,0.000186,0.000247,0.000162
TmntH  ,0,0,0,0,0
Tadc   ,0.000104,0.000307,0.000513,0.000309,0.000707
TchaA  ,0.000045,0,0,0.000011,0.000012
TcitH  ,0,0.000065,0.000056,0,0
TykuT  ,0.196836,0.432945,0.666769,0.761825,0.952108
Tmrp   ,0,0,0,-0.168605,-1.124546
EnasBC ,0,0,0,0,0
EnasDE ,0,0,0,0,0
EptsH  ,0,8.837412,10.112527,0,10.173476
EptsI  ,0,8.837412,10.112527,0,10.173476
EfruB  ,0,0,0,0,0
EmalA  ,0,0,0,0,0
EsacA  ,0,0,0,0,0
EmanA  ,0,0,0,0,0
EmtlD  ,0,0,0,0,0
EtreA  ,0,0,0,0,0
ElicH1 ,0,0,0,0,0
ElicH2 ,0,0,0,0,0
EglcK  ,0,0,0,0,0
EgutB  ,0,0,0,0,0
EgmuE  ,0,0,0,0,0
ErbsK  ,0,0,0,0,0
EglpK  ,0.000001,0.000003,0.000004,0.000005,0.000006
EglpD  ,0,0,0,0,0
EiolG  ,0,0,0,0,0
EiolE  ,0,0,0,0,0
EiolD  ,0,0,0,0,0
EiolC  ,0,0,0,0,0
EiolJ  ,0,0,0,0,0
EiolA  ,0,0,0,0,0
EgntK  ,0,0,0,0,0
EaraA  ,0,0,0,0,0
EaraB  ,0,0,0,0,0
EaraD  ,0,0,0,0,0
Epgi   ,-0.231228,5.130053,5.27896,-2.217366,7.956689
Epfk   ,0,6.773891,7.209583,0,7.87828
Efbp   ,0,0,0,0,0
EglpX  ,0.447492,0,0,1.951631,0
Efba   ,-0.447492,6.773891,7.209583,-1.951631,7.87828
Etpi   ,-0.619729,6.395053,6.626143,-2.618247,7.04516
EgapA  ,0,14.028095,14.861607,0,15.144586
EgapB  ,1.160559,0,0,4.223839,0
Epgk   ,-1.160559,14.028095,14.861607,-4.223839,15.144586
Epgm   ,-1.635529,12.984031,13.280353,-4.223839,15.144586
Eeno   ,-1.635529,12.984031,13.280353,-4.223839,15.144586
Epyk   ,0,3.461399,2.187547,0,4.382876
Epdh   ,9.182186,8.484992,11.460971,19.984327,24.320975
Epta   ,0,4.936943,9.753329,19.617863,23.752758
EackA  ,0,4.936943,9.753329,19.617863,23.752758
EacsA  ,0,0,0,0,0
EdhaS  ,0,0,0,0,0
Eldh   ,0,0,0,0,0
EalsS  ,0,0,0,0,0
EalsD  ,0.002044,0,0,0,0
Eaco   ,0.002044,0,0,0,0
Ezwf   ,0.100467,3.419748,4.390625,1.711277,1.58429
Egnd   ,0.100467,3.419748,4.390625,1.711277,1.58429
EywlF  ,0.253565,1.637093,2.246336,1.201657,1.358023
Erpe   ,-0.153438,1.782028,2.143446,0.508899,0.225489
Etkt1  ,0,1.046715,1.292762,0.349527,0.225489
EywjH  ,0,1.046715,1.292762,0.349527,0.225489
Etkt2  ,-0.153438,0.735312,0.850683,0.159372,0
Epyc   ,2.912206,1.999131,0,0,0
EcitZ  ,8.635777,2.386101,0,0,0.109815
EcitB  ,8.635777,2.387302,0.000523,0,0.109815
EcitC  ,8.635777,2.387302,0.000523,0,0.109815
Eodh   ,8.316667,1.715919,3.825681,7.114922,0
Esuc   ,8.316667,1.715919,3.825681,7.114922,0
Esdh   ,8.316667,1.715919,3.818358,7.114922,0
EcitG  ,8.542965,2.246131,4.682982,26.27667,9.793455
Emdh   ,8.542965,2.246131,2.846349,4.713972,0.109815
Epck   ,1.97078,0,0,4.713972,0
EmalS  ,0,0,0,0,0
EmaeA  ,0,0,0,0,0
EmleA  ,0,0,1.836633,21.562698,9.68364
EytsJ  ,0,0,0,0,0
Eprs   ,0.253565,0.590378,0.953574,0.852131,1.132534
EpurF  ,0.063028,0.169371,0.303974,0.36691,0.50413
EpurD  ,0.063028,0.169371,0.303974,0.36691,0.50413
EpurN  ,0.063028,0.169371,0.303974,0.36691,0.50413
EpurLQ ,0.063028,0.169371,0.303974,0.36691,0.50413
EpurM  ,0.063028,0.169371,0.303974,0.36691,0.50413
EpurEK ,0.062919,0.169238,0.303819,0.366698,0.503921
EpurC  ,0.062919,0.169238,0.303819,0.366698,0.503921
EpurB  ,0.062919,0.169238,0.303819,0.366698,0.503921
EpurH  ,0.14002,0.325776,0.529565,0.366698,0.503921
EpurA  ,0.111648,0.246369,0.383414,0.189019,0.256683
EpurB2 ,0.111648,0.246369,0.383414,0.189019,0.256683
Eadk   ,2.388587,5.019077,7.43197,7.090539,8.624605
EguaA  ,0.028372,0.079407,0.146151,0.177678,0.247238
EguaB  ,0.028372,0.079407,0.146151,0.177678,0.247238
EguaC  ,0,0,0,0,0
Egdp   ,0.06296,0.113827,0.180405,0.211865,0.281291
Egtp   ,3.548254,7.361233,10.724222,11.730246,14.021294
EpyrAB ,0,0,0,0.269287,0
EpyrB  ,0.045695,0.123777,0.222919,0.269287,0.370697
EpyrC  ,0.045695,0.123777,0.222919,0.269287,0.370697
EpyrKD ,0.045695,0.123777,0.222919,0.269287,0.370697
EpyrE  ,0.045695,0.123777,0.222919,0.269287,0.370697
EpyrF  ,0.045695,0.123777,0.222919,0.269287,0.370697
EpyrH  ,0.122376,0.23814,0.374598,0.436136,0.567914
Ecmk2  ,0.035515,0.036383,0.037021,0.037388,0.03797
Eutp   ,0.278186,0.590769,0.902392,1.063807,1.321574
EpyrG  ,0.022931,0.072836,0.114275,0.163019,0.19133
Ecdp   ,0.197599,0.382966,0.586069,0.640076,0.821979
Enrd1  ,0.004905,0.020712,0.016616,0.043618,0.023726
Enrd2  ,0.004294,0.01394,0.021468,0.024529,0.030656
Enrd3  ,0.004883,0.010739,0.016539,0.018897,0.023617
Enrd4  ,0.006365,0.004076,0.02156,0,0.030786
Egmk2  ,0,0,0,0,0
Eadk2  ,0.002044,0,0,0,0
Ecmk3  ,-0.006365,-0.004076,-0.02156,0,-0.030786
Ecmk4  ,0,-0.009924,0,-0.024633,0
EthyB  ,0.006365,0.013999,0.02156,0.024633,0.030786
EcomEB ,0,0.009924,0,0.024633,0
Etmk   ,0.006365,0.013999,0.02156,0.024633,0.030786
Endk1  ,0.006338,0.01394,0.021468,0.024529,0.030656
Endk2  ,0.004883,0.010739,0.016539,0.018897,0.023617
Endk3  ,0.004905,0.010789,0.016616,0.018984,0.023726
Endk4  ,0.006365,0.013999,0.02156,0.024633,0.030786
EycgT  ,0.114831,0.244137,0.356769,0.089474,0.111779
Etrna  ,0.007322,0.016104,0.024802,0.028337,0.035415
Etrna2 ,0.003434,0.007941,0.011339,0.013216,0.015659
Endh   ,26.898661,28.032917,37.181792,59.267773,49.941944
EyutJ  ,3.133176,0,0,0,2.427893
Eqcr   ,0.003405,9.947351,0,0,0
Enar   ,0,0,0,0,0
Eatp   ,20.572377,22.982727,24.705749,38.120892,31.485432
EppaC  ,2.939135,6.128112,9.133686,9.043918,11.09638
EytiB  ,-2.915485,-2.006342,-0.010957,-0.012519,-0.015646
EkatA  ,0.779799,0.608386,0.839327,1.355031,1.073316
EsodA  ,0.518223,0.402011,0.554056,0.897063,0.707701
EalaT  ,0.254166,0.542519,0.808469,1.652819,0
EalaS  ,0.138762,0.288581,0.417361,0.464654,0.564311
Ealr   ,0.030377,0.066814,0.102899,0.117569,0.146934
Eddl   ,0.028376,0.062413,0.096121,0.109824,0.137256
EargJ  ,0,0,0,0,0
EargB  ,0.051731,0.114605,0.177391,0,0
EargC  ,0.051731,0.114605,0.177391,0,0
EargD  ,0.051731,0.114605,0.177391,0,0
EargJ2 ,0.051731,0.114605,0.177391,0,0
EcarAB ,0.097426,0.238382,0.400311,0,0.370697
EargF  ,0.051731,0.114605,0.177391,0,0
EargG  ,0.051731,0.114605,0.177391,0,0
EargH  ,0.051731,0.114605,0.177391,0,0
EargS  ,0.040277,0.089411,0.138592,0.163418,0.196686
EasnB  ,0.077509,0.156572,0.225678,0,0
EasnS  ,0.077509,0.156572,0.225678,0.249143,0.301502
EaspB  ,0.848614,1.859161,2.846349,0,0
EaspS  ,0.102613,0.21203,0.30664,0.336299,0.405237
Esat   ,0.093775,0.193215,0.278514,0,0
EcysC  ,0.093775,0.193215,0.278514,0,0
EcysH  ,0.093775,0.193215,0.278514,0,0
EcysJI ,0.093767,0.193198,0.278514,0,0
EcysE  ,0.093767,0.193198,0.278514,0,0.000404
EcysK  ,0.093767,0.193198,0.278514,0,0
EyrrT  ,0,0,0,0,0
EmtnN  ,0.000093,0.000203,0.000306,0.000324,0.000404
EluxS  ,0.000093,0.000203,0.000306,0.000324,0.000404
EmccA  ,0,0,0,0,0.000404
