reaction,pyruvate,glucose,glucose + glutamate,amino acids,glucose + amino acids
TptsG,370.563,370.563,370.563,370.563,370.563
TfruA,370.563,370.563,370.563,370.563,370.563
TfruLev,370.563,370.563,370.563,370.563,370.563
TmalP,185.282,185.282,185.282,185.282,185.282
TsacP,185.282,185.282,185.282,185.282,185.282
TmanP,370.563,370.563,370.563,370.563,370.563
TmtlA,370.563,370.563,370.563,370.563,370.563
TtreP,185.282,185.282,185.282,185.282,185.282
Tlic,185.282,185.282,185.282,185.282,185.282
Tgmu,370.563,370.563,370.563,370.563,370.563
TgamP,370.563,370.563,370.563,370.563,370.563
TnagP,370.563,370.563,370.563,370.563,370.563
TmurP,370.563,370.563,370.563,370.563,370.563
TgutP,123.521,123.521,123.521,123.521,123.521
TglpF,0.285,0.285,0.285,0.285,0.285
TiolF,123.521,123.521,123.521,123.521,123.521
Trbs,92.641,92.641,92.641,92.641,92.641
TgntP,123.521,123.521,123.521,123.521,123.521
TaraE,123.521,123.521,123.521,123.521,123.521
TaraPQ,92.641,92.641,92.641,92.641,92.641
TdctP1,34.972,34.972,34.972,34.972,34.972
TdctP2,34.972,34.972,34.972,34.972,34.972
TcitM,34.972,34.972,34.972,34.972,34.972
TcimH1,34.972,34.972,34.972,34.972,34.972
TmaeN,34.972,34.972,34.972,34.972,34.972
TcimH2,34.972,34.972,34.972,34.972,34.972
TlctP,34.972,34.972,34.972,34.972,34.972
Tala,141.414,141.414,141.414,141.414,141.414
Targ,99.705,99.705,99.705,99.705,99.705
Targ2,49.853,49.853,49.853,49.853,49.853
Tasp,26.299,26.299,26.299,26.299,26.299
Tcys,16.751,16.751,16.751,16.751,16.751
Tcys2,8.376,8.376,8.376,8.376,8.376
TglnT,118.910,118.910,118.910,118.910,118.910
Tgln2,59.455,59.455,59.455,59.455,59.455
TgltT,27.459,27.459,27.459,27.459,27.459
This,58.535,58.535,58.535,58.535,58.535
Tile,107.257,107.257,107.257,107.257,107.257
Tleu,76.228,76.228,76.228,76.228,76.228
Tmet,46.655,46.655,46.655,46.655,46.655
Tmet2,23.327,23.327,23.327,23.327,23.327
Tpro,9.290,9.290,9.290,9.290,9.290
Ttrp,33.779,33.779,33.779,33.779,33.779
Tval,117.911,117.911,117.911,117.911,117.911
TpbuG,103.481,103.481,103.481,103.481,103.481
TpbuO,103.481,103.481,103.481,103.481,103.481
TpbuX,103.481,103.481,103.481,103.481,103.481
TpyrP,103.481,103.481,103.481,103.481,103.481
Tado,103.481,103.481,103.481,103.481,103.481
Tguo,103.481,103.481,103.481,103.481,103.481
Tino,103.481,103.481,103.481,103.481,103.481
Tcto,103.481,103.481,103.481,103.481,103.481
Tdado,103.481,103.481,103.481,103.481,103.481
Turi,103.481,103.481,103.481,103.481,103.481
Tcti,103.481,103.481,103.481,103.481,103.481
Tthy,103.481,103.481,103.481,103.481,103.481
Tdguo,103.481,103.481,103.481,103.481,103.481
Turt,103.481,103.481,103.481,103.481,103.481
Taloi,103.481,103.481,103.481,103.481,103.481
Tthi,103.481,103.481,103.481,103.481,103.481
Theme,103.481,103.481,103.481,103.481,103.481
TribU,103.481,103.481,103.481,103.481,103.481
TbioY,103.481,103.481,103.481,103.481,103.481
Tnh3b,118.910,118.910,118.910,118.910,118.910
Tno3,118.910,118.910,118.910,118.910,118.910
Tno2,118.910,118.910,118.910,118.910,118.910
Tno2b,118.910,118.910,118.910,118.910,118.910
Tqox,782.989,782.989,782.989,782.989,782.989
Tcyd,118.910,118.910,118.910,118.910,118.910
Tcta,78.299,78.299,78.299,78.299,78.299
Tsul,788.608,788.608,788.608,788.608,788.608
Tp,119.909,119.909,119.909,119.909,119.909
Tp2,118.910,118.910,118.910,118.910,118.910
TmgtE,1.019,1.019,1.019,1.019,1.019
TfeuABC,118.910,118.910,118.910,118.910,118.910
TefeNU,0.770,0.770,0.770,0.770,0.770
Tyfm,118.910,118.910,118.910,118.910,118.910
Tmnt,118.910,118.910,118.910,118.910,118.910
TmntH,0.550,0.550,0.550,0.550,0.550
Tadc,1.422,1.422,1.422,1.422,1.422
TchaA,0.308,0.308,0.308,0.308,0.308
TcitH,118.910,118.910,118.910,118.910,118.910
TykuT,82.812,82.812,82.812,82.812,82.812
Tmrp,711.208,711.208,711.208,711.208,711.208
EnasBC,1.929,5.489,9.300,10.556,10.556
EnasDE,1.929,5.489,9.300,10.556,10.556
EptsH,774.291,334.135,345.001,414.280,516.668
EptsI,81.799,41.956,54.868,43.491,35.912
EfruB,1.929,2.351,4.928,6.034,8.885
EmalA,1.929,2.351,4.928,6.034,8.885
EsacA,1.929,2.351,4.928,6.034,8.885
EmanA,1.929,2.351,4.928,6.034,8.885
EmtlD,1.929,2.351,4.928,6.034,8.885
EtreA,1.929,2.351,4.928,6.034,8.885
ElicH1,1.929,2.351,4.928,6.034,8.885
ElicH2,1.929,2.351,4.928,6.034,8.885
EglcK,1.929,2.351,4.928,6.034,8.885
EgutB,1.929,2.351,4.928,6.034,8.885
EgmuE,1.929,2.351,4.928,6.034,8.885
ErbsK,1.929,2.351,4.928,6.034,8.885
EglpK,1.964,5.549,9.570,10.020,13.562
EglpD,788.608,788.608,788.608,788.608,788.608
EiolG,1.929,2.351,4.928,6.034,8.885
EiolE,1.929,2.351,4.928,6.034,8.885
EiolD,1.929,2.351,4.928,6.034,8.885
EiolC,1.929,2.351,4.928,6.034,8.885
EiolJ,1.929,2.351,4.928,6.034,8.885
EiolA,1.929,2.351,4.928,6.034,8.885
EgntK,1.929,2.351,4.928,6.034,8.885
EaraA,1.929,2.351,4.928,6.034,8.885
EaraB,1.929,2.351,4.928,6.034,8.885
EaraD,1.929,2.351,4.928,6.034,8.885
Epgi,0.556,41.881,49.392,70.048,59.721
Epfk,238.817,311.988,141.525,41.018,192.873
Efbp,2.236,6.068,10.189,12.665,10.741
EglpX,17.968,17.261,16.807,17.968,12.501
Efba,1.371,17.228,22.179,30.444,17.996
Etpi,14.100,59.778,52.055,72.266,36.643
EgapA,24.483,28.720,22.676,19.112,14.089
EgapB,14.221,13.661,13.302,14.221,9.894
Epgk,9.117,45.941,65.709,86.254,31.125
Epgm,81.655,151.316,201.105,241.998,76.748
Eeno,11.986,42.202,59.710,76.779,25.936
Epyk,24.644,26.159,20.864,17.742,17.147
Epdh,25.812,29.819,53.844,43.529,46.401
Epta,81.627,53.172,67.575,57.729,48.582
EackA,56.076,93.138,60.429,57.203,42.069
EacsA,2.394,5.569,9.743,9.796,12.894
EdhaS,0.173,0.143,0.145,0.146,0.142
Eldh,2.394,5.569,9.743,9.796,12.894
EalsS,3.395,2.795,2.835,2.792,2.648
EalsD,3.100,2.552,2.589,2.550,2.418
Eaco,2.394,5.569,9.743,9.796,12.894
Ezwf,21.046,54.999,136.784,166.122,126.242
Egnd,6.233,13.706,35.249,42.286,51.060
EywlF,69.385,199.563,403.917,498.541,422.187
Erpe,189.473,787.236,788.608,788.608,543.344
Etkt1,0.144,5.688,11.882,15.534,7.245
EywjH,0.144,4.659,10.901,14.581,7.257
Etkt2,0.267,3.751,8.113,10.465,4.302
Epyc,28.487,19.854,21.691,4.712,24.590
