reaction,gene_id
TptsG  ,BSU13890
TfruA  ,BSU14400
TfruLev,BSU27070+BSU27060+BSU27050+BSU27040
TmalP  ,BSU08200
TsacP  ,BSU38050
TmanP  ,BSU12010
TmtlA  ,BSU03981
TtreP  ,BSU07800
Tlic   ,BSU38570+BSU38590+BSU38580
Tgmu   ,BSU05820+BSU05810+BSU05830
TgamP  ,BSU02350
TnagP  ,BSU07700
TmurP  ,BSU01680
TgutP  ,BSU06160
TglpF  ,BSU09280
TiolF  ,BSU39710
Trbs   ,BSU35940+BSU35960+BSU35950+BSU35930
TgntP  ,BSU40070
TaraE  ,BSU33960
TaraPQ ,BSU28740+BSU28730
TdctP1 ,BSU04470
TdctP2 ,BSU04470
TcitM  ,BSU07610
TcimH1 ,BSU38770
TmaeN  ,BSU31580
TcimH2 ,BSU38770
TlctP  ,BSU03060
Tala   ,BSU27810
Targ   ,BSU37760
Targ2  ,BSU23960+BSU23980+BSU23970
Tasp   ,BSU02340
Tcys   ,BSU03610+BSU03600+BSU03590
Tcys2  ,BSU29380+BSU29370+BSU29360+BSU29350+BSU29340
TglnT  ,BSU02420
Tgln2  ,BSU27460+BSU27450+BSU27440+BSU27430
TgltT  ,BSU10220
This   ,BSU39390
Tile   ,BSU09460
Tleu   ,BSU09460
Tmet   ,BSU09460
Tmet2  ,BSU32730+BSU32740+BSU32750
Tpro   ,BSU03220
Ttrp   ,BSU10010
Tval   ,BSU09460
TpbuG  ,BSU06370
TpbuO  ,BSU29990
TpbuX  ,BSU22060
TpyrP  ,BSU15480
Tado   ,BSU38710
Tguo   ,BSU06370
Tino   ,BSU38710
Tcto   ,BSU38710
Tdado  ,BSU38710
Turi   ,BSU39410
Tcti   ,BSU39410
Tthy   ,BSU39410
Tdguo  ,BSU39410
Turt   ,BSU32430
Taloi  ,BSU36470
Tthi   ,BSU13210+BSU13220+BSU13230+BSU13240
Theme  ,BSU07520+BSU07510+BSU07500+BSU07490
TribU  ,BSU23050
TbioY  ,BSU10370
