,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
DM_4CRSOL,0.00004014,0.00006467,0.00008697,0.00010927,0.0001098052,0.00011373,0.00014495
DM_5DRIB,0.00004158,0.00006694,0.00009009,0.00011319,0.0001137444,0.00011782,0.00015015
DM_AACALD,0,0,0,0,0,0,0
DM_AMOB,0.00000036,0.00000058,0.00000078,0.00000098,9.848E-07,0.00000102,0.0000013
DM_MTHTHF,0.0002412,0.0003886,0.0005226,0.0006566,0.000659816,0.0006834,0.000871
DM_OXAM,0,0,0,0,0,0,0
Ec_biomass_iJO1366_WT_53p95M,0.18,0.29,0.39,0.49,0.4924,0.51,0.65
Ec_biomass_iJO1366_core_53p95M,0,0,0,0,0,0,0
EX_12ppd_R_e,0,0,0.00000002,0,5.9080000591738E-07,0,-0.00000045
EX_12ppd_S_e,0,0,0,0,0,0,0
EX_14glucan_e,0,0,0,0,0,0,0
EX_15dap_e,0,0,0,0,0,0,0
EX_23camp_e,0,0,0,0,0,0,0
EX_23ccmp_e,0,0,0,0,0,0,0
EX_23cgmp_e,0,0,0,0,0,0,0
EX_23cump_e,0,0,0,0,0,0,0
EX_23dappa_e,0,0,0,0,0,0,0
EX_26dap_M_e,0,0,0,0,0,0,0
EX_2ddglcn_e,0,0,0,0,0,0,0
EX_34dhpac_e,0,0,0,0,0,0,0
EX_3amp_e,0,0,0,0,0,0,0
EX_3cmp_e,0,0,0,0,0,0,0
EX_3gmp_e,0,0,0,0,0,0,0
EX_3hcinnm_e,0,0,0,0,0,0,0
EX_3hpp_e,0,0,0,0,0,0,0
EX_3hpppn_e,0,0,0,0,0,0,0
EX_3ump_e,0,0,0,0,0,0,0
EX_4abut_e,0,0,0,0,0,0,0
EX_4hoxpacd_e,0,0,0,0,0,0,0
EX_5dglcn_e,0,0.6440697127,0,0,0,0,0
EX_5mtr_e,0.00121392,0.00195576,0.00263016,0.00330456,0.0033207456,0.00343944,0.0043836
EX_LalaDglu_e,0,0,0,0,0,0,0
EX_LalaDgluMdap_e,0,0,0,0,0,0,0
EX_LalaDgluMdapDala_e,0,0,0,0,0,0,0
EX_LalaLglu_e,0,0,0,0,0,0,0
EX_ac_e,0.0029019428,-13.782557055,10.2041129649,0.163744129,0,3.40925068,2.2394896919
EX_acac_e,0,0,0,0,0,0,0
EX_acald_e,0,0,0,0,0,0,0
EX_acgal_e,0,0,0,0,0,0,0
EX_acgal1p_e,0,0,0,0,0,0,0
EX_acgam_e,0,0,0,0,0,0,0
EX_acgam1p_e,0,0,0,0,0,0,0
EX_acmana_e,0,0,0,0,0,0,0
EX_acmum_e,0,0,0,0,0,0,0
EX_acnam_e,0,0,0,0,0,0,0
EX_acolipa_e,0,0,0,0,0,0,0
EX_acser_e,0,0,0,0,0,0,0
EX_ade_e,0,0,0,0,0,0,0
EX_adn_e,0,0,0,0,0,0,0
EX_adocbl_e,0,0,0,0,0,0,0
EX_ag_e,0,0,0,0,0,0,0
EX_agm_e,0,0,0,0,0,0,0
EX_akg_e,0,0,0,0,0,0,0
EX_ala_B_e,0,0,0,0,0,0,0
EX_ala_D_e,0,0,0,0,0,0,0
EX_ala_L_e,0,0,0,0,0,0,0
EX_alaala_e,0,0,0,0,0,0,0
EX_all_D_e,0,0,0,0,0,0,0
EX_alltn_e,0,0,0,0,0,0,0
EX_amp_e,0,0,0,0,0,0,0
EX_anhgm_e,0,0,0,0,0,0,0
EX_arab_L_e,0,0,0,0,0,0,0
EX_arbt_e,0,0,0,0,0,0,0
EX_arbtn_e,0,0,0,0,0,0,0
EX_arbtn_fe3_e,0,0,0,0,0,0,0
EX_arg_L_e,0,0,0,0,0,0,0
EX_ascb_L_e,0,0,0,0,0,0,0
EX_asn_L_e,0,0,0,0,0,0,0
EX_aso3_e,0,0,0,0,0,0,0
EX_asp_L_e,0,0,0,0,0,0,0
EX_btn_e,0,0,0,0,0,0,0
EX_but_e,0,0,0,0,0,0,0
EX_butso3_e,0,0,0,0,0,0,0
EX_ca2_e,0,0,0,0,0,0,0
EX_cbi_e,0,0,0,0,0,0,0
EX_cbl1_e,0,0,0,0,0,0,0
