,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
b3339,0.0138254931,0.0141361151,0.0163119337,0.0157610822,0.017153127,0.0165363433,0.0193608152
b0957,0.0061850221,0.0060719842,0.0053004065,0.0072972646,0.0057771841,0.0064724412,0.0078885031
b3829,0.0022479023,0.0032258434,0.0031773783,0.0046494028,0.0055919138,0.0031683937,0.0077390173
b3340,0.0036214509,0.0036254452,0.0044712097,0.0046173332,0.0050269106,0.0049437544,0.0053646589
b2414,0.0040142228,0.00503783,0.0042856406,0.0045294034,0.0044266364,0.0049762174,0.0044798623
b3774,0.0016714088,0.0018458532,0.0015322321,0.0029953775,0.0032896959,0.0026125541,0.0031938052
b3236,0.0036705591,0.0084742665,0.008402707,0.0040666324,0.0041649186,0.0045136224,0.0030445784
b1779,0.0013469816,0.0015743799,0.0015070413,0.0022055238,0.0037911388,0.0016931863,0.0029642512
b2779,0.0027051433,0.0019224462,0.0017979152,0.0023081007,0.0040815887,0.0020931491,0.0029242378
b2926,0.0028017514,0.0026809393,0.0023297801,0.0026908008,0.0032197279,0.0022303755,0.0029170151
b1136,0.0022684212,0.0030086594,0.0032644247,0.0021447206,0.0018434688,0.0025095658,0.0027297498
b0911,0.001571599,0.0014356055,0.0017791226,0.002378264,0.0026308216,0.0021337317,0.0025786952
b2215,0.0029283099,0.0037126497,0.0034655976,0.0020723601,0.0020558431,0.0021030608,0.0024047198
b4015,0.0212060795,0.0252370881,0.0046604353,0.0067850944,0.0026920354,0.0112651581,0.0023721984
b4143,0.0020405171,0.0024507874,0.0026446738,0.002880164,0.0024273234,0.0029786078,0.0023097923
b0014,0.0017358347,0.0021433192,0.001841694,0.0023316432,0.0022019063,0.0026510207,0.0022784027
b4000,0.0019920148,0.0015426795,0.0024109068,0.0024671907,0.0019233409,0.0022553081,0.0022457985
b3732,0.0016622688,0.001763433,0.0030928453,0.0025370315,0.0020546199,0.0025406881,0.0021539085
b0605,0.0020377167,0.002569398,0.0022890902,0.0022588108,0.0022716023,0.0020493415,0.0021515015
b0436,0.0012511949,0.001167947,0.0013991209,0.0016795779,0.0017437063,0.0017614672,0.0021286249
b2551,0.0012928028,0.0009013652,0.0013936118,0.0012144908,0.0016199245,0.0014661186,0.0019679572
b3341,0.0008827636,0.0009918141,0.0011790916,0.0014249831,0.0014991795,0.0013302068,0.0019161707
b0929,0.0017678139,0.00180545,0.0021713567,0.0027449407,0.0018082715,0.0021973294,0.0016738198
b3870,0.000710172,0.0005658795,0.000750677,0.001014179,0.0011692355,0.0006501042,0.0016395822
b3460,0.0020474792,0.0018059288,0.0017330428,0.0017522131,0.0016672575,0.0022781658,0.001590208
b0197,0.0010274184,0.0007920146,0.0010925633,0.0012564104,0.0010525845,0.0010327863,0.0015583664
b3734,0.0014797472,0.0013344517,0.0021528574,0.0018919874,0.0017930688,0.0021560464,0.0014238541
b2925,0.0010070049,0.000972275,0.0010986285,0.0011657848,0.001631318,0.0009554101,0.0013906395
b0169,0.0010167421,0.0007649536,0.0008913624,0.0012064838,0.0016755347,0.001299244,0.0013815804
b3986,0.0006705475,0.0006535918,0.000797977,0.0009540555,0.0010184106,0.0008483003,0.0013442744
b2029,0.000562718,0.0006196119,0.0007255693,0.0008175353,0.0009030007,0.0008057013,0.0012861784
