entry,glucose,lb,glycerol + aa,acetate,fumarate,glucosamine,glycerol,pyruvate,chemostat µ=0.5,chemostat µ=0.35,chemostat µ=0.20,chemostat µ=0.12,stationary phase 1 day,stationary phase 3 days,osmotic-stress glucose,42°c glucose,ph6 glucose,xylose,mannose,galactose ,succinate,fructose
P0A8T7,20.47,4.82,20.64,10.69,8.87,3.1,10.83,33.45,8.68,1.74,8.99,1.47,6.76,12.08,20.91,13.86,6.14,6.27,16.15,22.87,16.45,9.29
P0A8V2,18.15,2.91,14.56,10.33,6.12,5.08,7.44,25.11,8.28,2.75,8.53,1.24,14.42,11.18,17.48,10.51,5.93,4.27,13.51,19.75,13.6,7.77
P36683,17.23,0.96,3.98,8.11,2.63,5.71,2.22,4.57,4.97,3.1,5.24,0.93,3.93,10.04,16.6,9.57,4.47,21.78,3.16,2.07,4.21,3.25
P15254,9.31,5.12,8.3,1.02,3.24,6.88,4.74,4.28,8.93,4.43,9.08,3.3,7.01,4.02,12.97,11.38,1.78,7.88,1.22,7.69,2.96,6.2
P09831,6.3,4.23,9.76,21.93,6.04,2.45,9.79,23.57,7.97,5.28,5.38,3.14,17.44,3.98,28.41,17.39,7.84,20.05,17.71,22.36,10.69,8.91
P0AFG8,22.23,2.34,14.36,9.05,2.39,2.18,9.61,22.87,8.33,3.68,9.07,1.24,4.58,9.58,19.84,9.78,8.08,7.27,13.71,20.08,6.64,13.13
P0A9Q7,23.53,4.18,10.32,11.05,6.4,2.82,9.27,27.11,14.63,5.56,10.67,3.89,6.36,7.09,16.8,10.42,13.96,3.19,18.77,20.21,29.64,6.36
P0CE47,9.45,2.95,3.44,2.92,1.94,3.2,4.7,5.53,5.53,1.56,3.3,2.74,5.04,1.78,1.93,7.95,6.29,0.71,2.96,3.21,3.92,3.95
P25665,6.49,3.17,8.99,8.05,4.71,2.2,1.66,2.46,3.61,4.33,3.17,2.59,1.71,12.89,11.51,13.13,5.26,1.05,5.26,16.24,14.8,3.17
P0A6F5,4.09,1.12,3.82,1.93,5.41,3.06,3.64,5.82,1.44,2.95,2.31,4.43,1.99,1.35,2.09,6.7,6.65,7.86,3.16,3.13,6.32,1.36
